feature_number,financial_activation,general_activation,specialization,rank,layer
0,-10.366409301757812,-14.338626861572266,3.972217559814453,12,4
123,-8.837373733520508,-12.779669761657717,3.942296028137207,14,22
276,-4.200192928314209,-8.099796295166016,3.899603366851807,15,22
115,-14.318470001220703,-18.196407318115234,3.8779373168945312,18,28
328,-7.652322769165039,-11.52216911315918,3.8698463439941406,19,28
375,-7.030868053436279,-10.884880065917969,3.8540120124816895,20,28
83,-8.828997611999512,-12.663372993469238,3.834375381469727,12,16
318,-10.208598136901855,-14.026093482971191,3.817495346069336,13,16
311,-8.055030822753906,-11.870306968688965,3.8152761459350586,21,28
292,-10.3085298538208,-14.11211109161377,3.8035812377929688,9,10
280,-6.916172027587891,-10.701622009277344,3.785449981689453,22,28
389,-9.227703094482422,-13.010149002075195,3.782445907592773,16,22
384,-10.091608047485352,-13.85544776916504,3.763839721679688,10,10
147,-10.72419261932373,-14.472573280334473,3.748380661010742,17,22
181,-1.2321118116378784,-4.944276809692383,3.712164878845215,23,28
63,-11.75010585784912,-15.459991455078123,3.709885597229004,18,22
198,-6.568858623504639,-10.27163028717041,3.702771663665772,19,22
286,-7.555811882019043,-11.248815536499023,3.693003654479981,20,22
151,-8.138137817382812,-11.791589736938477,3.653451919555664,24,28
53,-9.70455551147461,-13.32882022857666,3.624264717102051,13,4
32,-9.43516731262207,-13.04326343536377,3.608096122741699,14,4
171,0.0038321805186569,-3.5975046157836914,3.601336717605591,25,28
157,-12.56875228881836,-16.13944435119629,3.5706920623779297,14,16
116,-10.036675453186035,-13.604480743408203,3.567805290222168,11,10
17,-9.25356674194336,-12.812708854675291,3.5591421127319336,15,4
347,-9.296770095825195,-12.838065147399902,3.541295051574707,16,4
339,-7.5063018798828125,-11.03347396850586,3.527172088623047,26,28
133,-9.315102577209473,-12.834304809570312,3.51920223236084,12,10
310,-8.727971076965332,-12.22199535369873,3.4940242767333984,21,22
255,-9.973827362060549,-13.451257705688477,3.4774303436279297,15,16
272,-8.683496475219727,-12.098396301269531,3.4148998260498047,22,22
78,-12.718026161193848,-16.131101608276367,3.4130754470825195,27,28
242,-9.264202117919922,-12.676621437072754,3.412419319152832,28,28
334,-10.339484214782717,-13.746515274047852,3.4070310592651367,23,22
58,-8.124021530151367,-11.520002365112305,3.395980834960937,24,22
239,-8.080364227294922,-11.449762344360352,3.3693981170654297,16,16
131,-7.705765247344971,-11.074877738952637,3.369112491607666,25,22
197,-7.497877597808838,-10.863773345947266,3.365895748138428,26,22
224,-9.586451530456545,-12.943625450134276,3.3571739196777344,29,28
351,-6.520382881164551,-9.86973476409912,3.3493518829345703,27,22
17,-10.685418128967283,-14.026544570922852,3.3411264419555664,17,16
358,-8.414007186889648,-11.746235847473145,3.332228660583496,18,16
176,-7.087027549743652,-10.407837867736816,3.320810317993164,28,22
4,-5.838022232055664,-9.15757942199707,3.3195571899414062,30,28
281,-9.648031234741213,-12.947566986083984,3.299535751342773,29,22
125,-8.575498580932617,-11.849349975585938,3.2738513946533203,17,4
127,-8.44650936126709,-11.717691421508787,3.271182060241699,13,10
335,-8.543501853942871,-11.80126953125,3.257767677307129,30,22
362,-8.819355964660645,-12.034464836120604,3.215108871459961,19,16
184,-8.409543991088867,-11.609496116638184,3.1999521255493164,14,10
237,-8.219210624694824,-11.40957260131836,3.190361976623535,18,4
199,-8.320643424987793,-11.494129180908203,3.17348575592041,20,16
6,-8.270689010620117,-11.393658638000488,3.122969627380371,15,10
255,-8.204776763916016,-11.299250602722168,3.0944738388061523,16,10
26,-8.708243370056152,-11.794720649719238,3.086477279663086,21,16
167,-8.382855415344238,-11.459172248840332,3.0763168334960938,17,10
90,-8.334266662597656,-11.4061279296875,3.071861267089844,18,10
12,-8.181550979614258,-11.227864265441896,3.0463132858276367,19,10
269,-8.297897338867188,-11.327165603637695,3.029268264770508,19,4
201,-8.090876579284668,-11.071104049682615,2.980227470397949,20,10
318,-7.508805274963379,-10.470703125,2.961897850036621,21,10
321,-8.259371757507324,-11.212793350219728,2.9534215927124023,22,16
149,-7.554646968841553,-10.503159523010254,2.948512554168701,23,16
229,-12.320032119750977,-15.257787704467772,2.937755584716797,24,16
166,-8.013310432434082,-10.95008373260498,2.9367733001708984,22,10
22,-8.828328132629395,-11.756583213806152,2.928255081176758,25,16
250,-8.858777046203613,-11.782268524169922,2.9234914779663086,26,16
14,-7.606539249420166,-10.51926326751709,2.912724018096924,20,4
368,-7.857592582702637,-10.768237113952637,2.91064453125,27,16
0,-7.463563442230225,-10.34110164642334,2.8775382041931152,28,16
9,-7.461902141571045,-10.318946838378906,2.8570446968078613,21,4
347,-7.311850547790527,-10.15776824951172,2.8459177017211914,23,10
107,-7.519991874694824,-10.361812591552734,2.84182071685791,29,16
238,-6.9718170166015625,-9.810598373413086,2.8387813568115234,30,16
52,-6.849779605865479,-9.60135555267334,2.7515759468078613,24,10
372,-7.426805019378662,-10.15449047088623,2.7276854515075684,22,4
220,-6.890439987182617,-9.61705207824707,2.726612091064453,25,10
70,-7.028096675872803,-9.748233795166016,2.720137119293213,26,10
166,-7.242554187774658,-9.925999641418455,2.683445453643799,23,4
352,-6.942036151885986,-9.596715927124023,2.654679775238037,27,10
125,-7.589370250701904,-10.185495376586914,2.5961251258850098,28,10
105,-7.183383464813232,-9.734731674194336,2.5513482093811035,29,10
162,-6.700074672698975,-9.227191925048828,2.527117252349853,30,10
8,-6.322139263153076,-8.77325439453125,2.451115131378174,24,4
80,-5.944331169128418,-8.21524429321289,2.2709131240844727,25,4
162,-5.871204376220703,-8.093563079833984,2.222358703613281,26,4
176,-5.599775314331055,-7.797440052032471,2.197664737701416,27,4
247,-5.788228511810303,-7.985833168029785,2.1976046562194824,28,4
12,-5.69215202331543,-7.85182523727417,2.15967321395874,29,4
296,-5.600022792816162,-7.7430315017700195,2.1430087089538574,30,4
