layer,feature,label,f1_score,accuracy,precision,recall,main_theme,sub_theme
22,111,Temporal and conditional phrases in financial and tech contexts,0.659,0.523,0.732,0.6,And & Contexts,And Tech
10,133,Financial advice and market analysis context,0.742,0.615,0.766,0.72,And & Economic,And Contexts
4,0,Denotes relationships or measurements in financial and temporal contexts,0.727,0.585,0.75,0.706,And & Contexts,And Contexts
16,228,"Business and financial terms, including company names and economic indicators.",0.829,0.708,0.767,0.902,And & Names,And Names
16,167,"Key business and financial terms, often related to specific companies or sectors.",0.83,0.723,0.786,0.88,And & Contexts,And Tech
4,334,Movement or positioning in a specific context,0.0,0.231,0.0,0.0,And & Contexts,And Tech
22,18,"Financial and stock market terms, including company names and metrics.",0.777,0.646,0.755,0.8,And & Names,And Names
28,15,End of sentences in financial and stock-related statements.,0.545,0.571,0.692,0.45,Stock & And,End Sentences
16,183,Financial or business-related articles or key points,0.855,0.754,0.783,0.94,And & Contexts,And Concepts
10,390,"Specific locations, company names, and stock symbols in financial contexts",0.833,0.754,0.87,0.8,And & Names,And Names
22,109,"Sentence boundary marker, specifically periods.",0.476,0.56,0.5,0.455,Sentence & Marker,Sentence Boundary
10,286,"Financial metrics, market movements, and strategic analysis",0.843,0.754,0.827,0.86,And & Metrics,And Metrics
28,200,"Business and financial contexts, involving companies, investors, and strategies",0.833,0.723,0.776,0.9,And & Contexts,Contexts And
10,293,"Financial and business-related terms, including company names and financial metrics.",0.807,0.677,0.746,0.88,And & Names,And Names
22,141,"Business and financial activities, including investments, partnerships, and market trends.",0.819,0.708,0.782,0.86,And & Economic,And Contexts
28,305,Common functional words and transitions in financial and business contexts,0.723,0.6,0.773,0.68,And & Contexts,And Words
4,261,Indicates specific points in time or conditions in financial and technical contexts.,0.747,0.646,0.829,0.68,And & Time,And Technical
10,254,End of sentence or significant clause in financial contexts,0.333,0.52,0.429,0.273,Sentence & Marker,Sentence End
4,288,Publication and continuation of articles or content,0.423,0.369,0.75,0.294,And & Contexts,And News
4,94,Financial performance comparisons over time or against benchmarks,0.587,0.523,0.88,0.44,And & Time,And Performance
28,142,Key connectors and modifiers in financial and business contexts,0.827,0.723,0.796,0.86,And & Contexts,And Contexts
4,314,Temporal or sequential relationships in events or actions,0.568,0.508,0.875,0.42,And & Contexts,And Contexts
22,36,"Word fragments and punctuation, emphasizing boundaries and structure.",0.8,0.692,0.8,0.8,And & Contexts,And Punctuation
16,124,Financial metrics and stock-related information,0.815,0.692,0.759,0.88,And & Metrics,And Metrics
4,22,Articles and determiners preceding significant financial or market terms,0.585,0.477,0.774,0.471,And & Economic,And Words
4,86,Denotes time periods or contexts in financial and business contexts,0.8,0.708,0.844,0.76,And & Time,Time Periods
28,101,Short phrases or clauses indicating conditional or speculative statements in financial contexts.,0.4,0.4,0.867,0.26,And & Contexts,Contexts And
16,264,Sentence-ending punctuation or key terms,0.485,0.514,0.615,0.4,And & Contexts,Sentence And
10,41,Sentence boundary marker,0.267,0.56,0.5,0.182,Sentence & Marker,Sentence Boundary
4,332,Financial and stock-related entities and terms,0.837,0.754,0.854,0.82,Stock & And,And Contexts
10,51,Financial performance and market conditions terms,0.681,0.538,0.744,0.627,And & Economic,And Performance
10,224,Actions and decisions by financial entities and stakeholders,0.65,0.569,0.867,0.52,And & Contexts,And Contexts
16,41,Punctuation marks (periods) and preceding/following words indicate sentence boundaries.,0.471,0.64,0.571,0.4,And & Contexts,Sentence And
4,164,Punctuation and numerical values in financial contexts,0.761,0.662,0.833,0.7,And & Contexts,And Values
4,333,Introduces significant or notable aspects using articles and quantifiers,0.382,0.354,0.722,0.26,And & Contexts,And Words
4,267,Referential coherence in financial and business contexts,0.752,0.615,0.745,0.76,And & Contexts,And Contexts
22,331,Common words and short phrases in financial and business news,0.777,0.646,0.755,0.8,And & Contexts,And Words
28,104,Technical and financial terms related to company performance and technology sectors,0.879,0.8,0.839,0.922,And & Contexts,And Technical
22,198,"Specific company names, financial terms, and industry jargon",0.958,0.92,1.0,0.92,And & Names,And Names
16,237,Financial and geopolitical events affecting oil and energy markets,0.413,0.431,1.0,0.26,And & Contexts,And Contexts
10,81,Key identifiers and acronyms in financial and business contexts,0.796,0.692,0.812,0.78,And & Contexts,And Contexts
16,4,"Financial and tech-specific numbers, symbols, and company names",0.804,0.677,0.754,0.86,And & Names,And Tech
16,296,Concerns and expectations about company performance and market conditions.,0.682,0.569,0.811,0.588,And & Economic,And Performance
10,110,Sentence endings and occasional context-specific words,0.455,0.52,0.455,0.455,And & Contexts,Sentence And
22,51,Financial metrics and company-specific events in technical contexts,0.811,0.692,0.782,0.843,And & Metrics,And Metrics
16,325,Punctuation and short words in financial text,0.713,0.615,0.838,0.62,And & Contexts,And Words
22,204,Delimiters or specific entities marking segments or important elements,0.553,0.477,0.808,0.42,And & Contexts,And Tech
22,184,"Financial and business-related terms, including percentages, growth, and market data.",0.796,0.677,0.774,0.82,And & Contexts,And Concepts
22,364,End of sentence marker,0.154,0.56,0.5,0.091,Sentence & Marker,Sentence End
10,45,"Financial and market-related information, including stock prices, investor sentiment, and economic projections.",0.833,0.723,0.776,0.9,And & Economic,And Stock
16,347,"Specific company names, products, and financial terms",0.811,0.692,0.768,0.86,And & Names,And Names
4,197,Digits in financial and technical contexts,0.788,0.662,0.759,0.82,And & Time,And Technical
22,255,"Business and technology competition, especially in AI and trading",0.273,0.262,0.6,0.176,And & Contexts,And Contexts
10,236,Economic and geopolitical events or conditions affecting markets and companies,0.593,0.492,0.774,0.48,And & Contexts,And Contexts
4,221,"Punctuation, numbers, and business-related terms in financial contexts",0.818,0.692,0.75,0.9,And & Contexts,And Concepts
4,87,Country names and related terms in financial/geopolitical contexts,0.241,0.323,0.875,0.14,And & Contexts,And Contexts
28,5,Personal pronouns and auxiliary words in financial and business contexts,0.519,0.431,0.769,0.392,And & Contexts,And Contexts
10,172,"Financial amounts, investments, and economic metrics",0.699,0.615,0.879,0.58,And & Contexts,And Contexts
4,41,Sentence-ending punctuation or specific details in financial contexts,0.571,0.64,0.6,0.545,And & Contexts,Sentence And
22,321,Financial stakeholders and market participants,0.667,0.554,0.784,0.58,And & Economic,And Contexts
28,153,"Financial and economic terms, including contracts, prices, and market activities.",0.804,0.677,0.754,0.86,And & Economic,And Economic
28,397,Titles and key details of financial news articles and stock reports,0.688,0.538,0.733,0.647,And & Contexts,And News
28,152,"Punctuation marks (colons, periods) denote structure in financial/news articles.",0.65,0.569,0.867,0.52,And & Contexts,Sentence And
28,138,Punctuation and common words in financial text,0.593,0.492,0.774,0.48,And & Contexts,And Words
16,155,Time periods and durations in financial contexts,0.595,0.538,0.917,0.44,And & Time,Time Periods
28,309,Quantitative financial data and performance metrics,0.64,0.585,0.96,0.48,And & Metrics,And Performance
16,36,"Market trends and financial movements, including stock performance and regional indicators.",0.841,0.738,0.789,0.9,And & Economic,And Contexts
22,192,End of sentence or section marker,0.795,0.723,0.921,0.7,Sentence & Marker,Sentence End
16,70,"Financial and investment concepts, focusing on dividends and stock performance",0.642,0.554,0.839,0.52,And & Economic,And Contexts
16,202,"Financial and business-related terms, including stock, growth, and analyst insights.",0.804,0.692,0.788,0.82,And & Contexts,And Concepts
10,95,"Numerical values, years, and financial metrics",0.711,0.6,0.8,0.64,And & Metrics,And Values
16,181,Punctuation and common end-of-sentence words,0.412,0.385,0.824,0.275,Sentence & Marker,Sentence End
28,266,Punctuation and common words in article titles and financial contexts,0.675,0.585,0.848,0.56,And & Contexts,And Words
10,0,Financial and business associations or metrics,0.815,0.692,0.759,0.88,And & Contexts,And Contexts
16,72,"Financial and business-related terms, often involving market and investment contexts.",0.936,0.88,1.0,0.88,And & Contexts,And Concepts
4,246,Geopolitical entities and economic institutions influencing global dynamics.,0.63,0.585,1.0,0.46,And & Contexts,And Contexts
16,209,Negation or absence in financial and market contexts,0.632,0.569,0.96,0.471,And & Economic,And Contexts
22,48,End of sentence marker,0.133,0.48,0.25,0.091,Sentence & Marker,Sentence End
4,383,Current or past states of entities or conditions,0.683,0.6,0.875,0.56,And & Contexts,And States
16,91,Financial and business performance indicators and strategic positions,0.779,0.677,0.841,0.725,And & Metrics,And Performance
4,195,"Financial metrics, percentages, and time periods in financial contexts",0.659,0.569,0.844,0.54,And & Time,Time Periods
28,322,"Functional words indicating actions, states, and relationships",0.493,0.462,0.895,0.34,And & Contexts,And States
10,262,Punctuation and transitional phrases in formal text,0.148,0.292,1.0,0.08,And & Contexts,And Punctuation
22,355,Focus on subword units and segments,0.847,0.738,0.783,0.922,And & Contexts,And Contexts
16,232,"Listing or enumerating specific items, segments, or details",0.276,0.354,1.0,0.16,And & Contexts,And Tech
4,351,"Possession or state of having, often in financial contexts",0.537,0.415,0.688,0.44,And & Contexts,Contexts And
22,191,"Financial market trends, economic indicators, and corporate events",0.796,0.662,0.741,0.86,And & Economic,And Economic
16,257,"Financial and business-specific terms, including names, numbers, and actions.",0.867,0.769,0.79,0.961,And & Contexts,And Tech
10,114,"Financial figures, including monetary amounts and percentages.",0.684,0.615,0.931,0.54,And & Contexts,And Values
28,377,Punctuation and common words signaling financial transitions or explanations,0.681,0.538,0.744,0.627,And & Contexts,And Words
4,212,Movement or change in financial or business contexts,0.76,0.631,0.76,0.76,And & Contexts,And Contexts
16,120,"Business and financial market dynamics, competition, and economic activities",0.841,0.738,0.789,0.9,And & Economic,And Contexts
10,153,"Financial and stock-related terms, emphasizing specific stocks and actions.",0.779,0.677,0.822,0.74,And & Contexts,And Tech
22,384,"Partial financial and business terms, often related to stocks and trading.",0.913,0.84,1.0,0.84,And & Contexts,And Performance
28,301,"Business and financial outcomes, often company-specific",0.75,0.6,0.722,0.78,And & Contexts,And Tech
16,255,"Fragments of financial and corporate terms, including company names and years.",0.857,0.754,0.774,0.96,And & Names,And Names
16,59,Financial performance and market trends over recent periods,0.701,0.54,1.0,0.54,And & Economic,And Performance
4,116,Financial and economic terms and metrics,0.784,0.662,0.769,0.8,And & Economic,And Economic
10,242,Punctuation and short words in financial and news text,0.812,0.708,0.82,0.804,And & Contexts,And Words
4,83,Directional changes in stock prices and market performance metrics,0.493,0.462,0.944,0.333,And & Metrics,And Contexts
28,213,Sentence boundaries and concluding transitions,0.174,0.457,1.0,0.095,And & Contexts,Sentence And
4,72,Financial actions and market movements,0.722,0.585,0.745,0.7,And & Economic,And Contexts
16,206,"Financial terms, symbols, and specific numerical values",0.835,0.738,0.827,0.843,And & Contexts,And Values
10,330,"Financial and stock-related terms, including investments, returns, and technology.",0.857,0.769,0.818,0.9,And & Economic,And Contexts
4,56,"Sentence boundary marker, specifically periods.",0.4,0.64,0.6,0.3,Sentence & Marker,Sentence Boundary
10,226,Financial metrics and economic indicators in business and market contexts,0.83,0.723,0.786,0.88,And & Metrics,And Metrics
16,78,"Prepositions and conjunctions linking actions, states, and relationships",0.472,0.415,0.773,0.34,And & Contexts,And States
16,253,"Financial transactions, investments, and economic activities",0.807,0.677,0.746,0.88,And & Contexts,And Contexts
10,251,End of sentences in financial and stock-related contexts.,0.651,0.571,0.636,0.667,Stock & And,End Sentences
28,43,"Financial metrics, indices, and time periods in stock performance",0.634,0.538,0.812,0.52,And & Time,Time Periods
28,230,Financial and business performance metrics and market conditions,0.936,0.88,1.0,0.88,And & Metrics,And Performance
16,210,"Economic and market-related terms, including prices, competition, and supply.",0.692,0.564,0.711,0.675,And & Economic,And Stock
4,81,Possessive form indicating ownership or association,0.197,0.246,0.545,0.12,And & Contexts,And Contexts
22,270,"Punctuation, directional changes, financial metrics",0.819,0.708,0.782,0.86,And & Metrics,And Metrics
10,211,Punctuation and financial terms indicating structure and emphasis in stock discussions,0.731,0.615,0.791,0.68,And & Contexts,And Punctuation
10,217,"Time periods, publication origins, and financial events",0.808,0.708,0.816,0.8,And & Time,Time Periods
10,199,"Connects related financial or business information, indicating continuation or extension.",0.804,0.677,0.768,0.843,And & Contexts,And Contexts
10,396,Temporal references in financial and business contexts,0.721,0.631,0.861,0.62,And & Contexts,And Contexts
4,44,Initial and partial segments of company names and stock symbols,0.625,0.538,0.833,0.5,And & Names,And Names
16,175,"Product names, brand-related terms, and specific industry jargon",0.708,0.569,0.739,0.68,And & Contexts,And Tech
10,162,"Financial and business terms, focusing on stocks, companies, and economic indicators.",0.847,0.738,0.783,0.922,And & Contexts,And Performance
10,23,"Significant financial events or metrics, often negative, like losses, crashes, and deaths.",0.323,0.354,0.909,0.196,And & Contexts,And Words
28,74,"Introduces or summarizes specific information, details, or examples.",0.286,0.4,0.3,0.273,And & Contexts,And Tech
4,189,Financial metrics and performance indicators in business contexts,0.633,0.554,0.862,0.5,And & Metrics,And Performance
22,174,Financial market terms and HTML tags indicating article structure,0.747,0.646,0.829,0.68,And & Economic,And News
28,225,Temporal and ordinal markers in financial and business contexts,0.691,0.615,0.903,0.56,And & Contexts,And Contexts
4,270,Metadata and structural elements of news articles,0.381,0.4,1.0,0.235,And & Contexts,And Elements
16,24,"Financial and business-related concepts, including stocks, investments, and market trends.",0.936,0.88,1.0,0.88,And & Contexts,And Concepts
22,340,"Financial and business reporting, performance metrics, and market events.",0.839,0.723,0.758,0.94,And & Metrics,And Performance
28,339,Financial metrics and market conditions in stock performance context,0.605,0.477,0.722,0.52,And & Metrics,And Metrics
4,92,"Words preceding or following sentence-ending periods, often action-oriented or detailed.",0.533,0.44,0.421,0.727,And & Contexts,Sentence And
10,259,Dates and years in financial/news contexts,0.579,0.508,0.846,0.44,And & Contexts,And News
28,180,Ongoing or recent actions in business and technology,0.659,0.538,0.763,0.58,And & Contexts,And Contexts
22,136,"Actions, processes, and transitions in business and technology contexts",0.701,0.554,0.723,0.68,And & Contexts,And Contexts
16,301,Financial and stock market performance indicators and actions,0.658,0.585,0.897,0.52,And & Economic,And Performance
22,169,Punctuation marks introducing or separating specific details in financial contexts,0.526,0.446,0.8,0.392,And & Contexts,Sentence And
10,112,Financial and business-related characters and short sequences,0.836,0.723,0.767,0.92,And & Contexts,And Concepts
28,344,Financial performance and market dynamics terms,0.781,0.646,0.745,0.82,And & Economic,And Performance
28,121,"Financial entities, roles, and terms",0.727,0.585,0.75,0.706,And & Contexts,And Contexts
10,173,"Financial and business-related terms, including percentages, investments, and market activities.",0.745,0.6,0.731,0.76,And & Contexts,And Concepts
10,118,End of sentences in financial and stock-related contexts,0.545,0.6,0.545,0.545,Stock & And,End Sentences
10,73,"Economic and market-related terms, focusing on demand, growth, and financial metrics.",0.722,0.585,0.761,0.686,And & Economic,And Stock
28,366,"Financial market events, risks, and strategic actions",0.711,0.6,0.8,0.64,And & Economic,And Contexts
10,99,Financial metrics and market performance indicators,0.699,0.615,0.906,0.569,And & Metrics,And Performance
4,55,Sentence-ending punctuation or key financial terms,0.593,0.56,0.5,0.727,And & Contexts,Sentence And
28,57,Common words and punctuation in financial and news articles,0.78,0.662,0.78,0.78,And & Contexts,And Words
4,138,End-of-sentence markers and apostrophes indicating possession or contractions.,0.717,0.6,0.786,0.66,And & Contexts,Sentence End
28,75,"Common functional words and punctuation, indicating structural roles.",0.29,0.323,0.75,0.18,And & Contexts,And Words
22,49,Actions or strategies undertaken by companies or management,0.521,0.462,0.864,0.373,And & Contexts,And Contexts
10,295,Market sentiment and financial performance indicators,0.731,0.615,0.791,0.68,And & Economic,And Performance
22,389,"Significant business dynamics: growth, competition, strategic shifts",0.675,0.6,0.931,0.529,And & Contexts,And Words
4,319,Punctuation in financial and stock-related text,0.597,0.523,0.852,0.46,Stock & And,And Contexts
16,353,Financial and business context markers,0.844,0.738,0.78,0.92,And & Contexts,And Contexts
28,90,"Financial metrics, percentages, and temporal indicators in economic contexts",0.699,0.615,0.906,0.569,And & Metrics,And Metrics
4,118,"Sentence boundary marker, specifically periods.",0.316,0.48,0.333,0.3,Sentence & Marker,Sentence Boundary
10,361,"References to past events, time periods, or historical contexts in financial contexts.",0.545,0.462,0.808,0.412,And & Time,Time Periods
10,195,Financial metrics and large monetary values in company performance and stock market data,0.64,0.585,0.96,0.48,And & Metrics,And Metrics
10,19,Conjunctions and punctuation linking contrasting or sequential financial concepts,0.286,0.308,0.692,0.18,And & Contexts,And Punctuation
10,8,Financial market indicators and specific economic terms,0.742,0.646,0.846,0.66,And & Economic,And Economic
28,206,"Financial and technological context, emphasizing specific numbers and terms",0.769,0.631,0.755,0.784,And & Contexts,And Tech
28,264,Marks the end of a complete thought or statement.,0.333,0.543,1.0,0.2,And & Contexts,Sentence And
16,116,Financial metrics and percentages in financial contexts,0.762,0.692,0.97,0.627,And & Metrics,And Metrics
22,128,"Financial and business terms, focusing on transactions, growth, and market activities.",0.829,0.708,0.754,0.92,And & Contexts,And Performance
16,172,"Financial and economic indicators, market performance, interest rates, and growth",0.747,0.646,0.829,0.68,And & Economic,And Economic
10,218,"Sentence boundary marker, specifically end of sentence",0.5,0.68,0.667,0.4,Sentence & Marker,Sentence Boundary
16,3,"Financial and technological trends, market dynamics, and innovation",0.729,0.6,0.761,0.7,And & Economic,And Contexts
22,252,"Specific company names, locations, and technology sectors",0.764,0.677,0.872,0.68,And & Names,And Names
4,147,"Financial and business terms, often related to market performance and corporate actions.",0.796,0.662,0.754,0.843,And & Contexts,And Performance
4,217,Transitions and movements in various contexts,0.148,0.292,1.0,0.08,And & Contexts,And Contexts
10,378,Financial figures and specific numbers,0.646,0.477,0.689,0.608,And & Contexts,And Values
22,56,End of sentence punctuation mark,0.357,0.486,0.625,0.25,Sentence & Marker,Sentence End
4,381,Market sentiment and financial performance indicators,0.75,0.631,0.783,0.72,And & Economic,And Performance
4,329,"Economic and financial risks, concerns, and negative market trends",0.63,0.585,1.0,0.46,And & Economic,And Economic
22,251,"Sentence boundary marker, specifically periods.",0.286,0.6,0.5,0.2,Sentence & Marker,Sentence Boundary
16,203,"Names, titles, and financial entities in business and tech contexts",0.824,0.7,1.0,0.7,And & Contexts,And Tech
4,194,"Financial and business terms, including dates, growth, and company names",0.836,0.723,0.767,0.92,And & Names,And Names
16,199,Punctuation and short functional words in financial and market contexts,0.76,0.631,0.76,0.76,And & Contexts,And Words
10,399,"Financial and market-related terms, including company names and economic indicators.",0.796,0.662,0.741,0.86,And & Names,And Names
22,181,Financial and economic news headlines and summaries,0.727,0.585,0.735,0.72,And & Contexts,And Economic
4,192,End of sentence marker,0.333,0.68,1.0,0.2,Sentence & Marker,Sentence End
28,210,Common functional words and punctuation in business and technology contexts,0.608,0.523,0.828,0.48,And & Contexts,And Words
22,249,Financial and temporal terms related to market movements and metrics,0.796,0.677,0.788,0.804,And & Economic,And Contexts
16,105,"Financial and market-related dates, events, and metrics",0.719,0.615,0.821,0.64,And & Economic,And Stock
10,43,"Financial numerical values, including decimals and percentages",0.611,0.569,1.0,0.44,And & Contexts,And Values
10,155,"Financial and economic terms, focusing on market trends and stock performance.",0.796,0.692,0.812,0.78,And & Economic,And Economic
28,125,"Key entities, actions, or transitions in financial and tech news",0.796,0.677,0.774,0.82,And & Contexts,And Tech
10,343,Financial and business-related terms and concepts,0.857,0.754,0.787,0.941,And & Contexts,And Concepts
4,130,"Sentence boundary marker, specifically periods.",0.6,0.68,0.667,0.545,Sentence & Marker,Sentence Boundary
10,4,Temporal markers and punctuation indicating time and structure,0.394,0.385,0.812,0.26,And & Contexts,And Punctuation
16,233,Business events and financial market activities,0.812,0.708,0.804,0.82,And & Economic,And Contexts
4,90,Financial and investment-related terms and concepts,0.947,0.9,1.0,0.9,And & Economic,And Stock
10,297,"Key business and financial terms, including brand, innovation, and market performance.",0.74,0.6,0.74,0.74,And & Economic,And Contexts
4,357,Technical and financial terms related to technology and market trends,0.836,0.723,0.767,0.92,And & Economic,And Technical
10,348,Financial metrics and performance indicators in stock market contexts,0.747,0.646,0.829,0.68,And & Metrics,And Performance
4,385,Temporal and transitional elements indicating specific times or ongoing processes,0.723,0.646,0.938,0.588,And & Contexts,And Tech
10,137,Indicates possession or state with a specific attribute or condition,0.333,0.385,1.0,0.2,And & Contexts,And Tech
28,196,"Financial and economic indicators, market events, and specific dates",0.646,0.477,0.674,0.62,And & Economic,And Economic
28,165,Financial metrics and corporate actions,0.76,0.631,0.76,0.76,And & Metrics,And Metrics
10,241,Financial metrics and large numerical values,0.658,0.585,0.897,0.52,And & Metrics,And Values
22,238,"Financial and business terms, often involving specific individuals or companies",0.85,0.738,0.762,0.96,And & Contexts,And Performance
10,121,Punctuation and common words in financial and business contexts,0.82,0.723,0.82,0.82,And & Contexts,And Words
10,256,Common functional words in financial and news articles,0.667,0.508,0.711,0.627,And & Contexts,And Words
10,20,Directional financial movements and actions,0.507,0.462,0.857,0.36,And & Contexts,And Contexts
4,104,Financial metrics and time-specific references in investment contexts,0.694,0.538,0.708,0.68,And & Metrics,And Metrics
10,389,Financial news and stock-related content,0.796,0.677,0.774,0.82,And & Contexts,And News
22,365,Financial actions and entities in business contexts,0.769,0.631,0.741,0.8,And & Contexts,And Contexts
28,346,"Financial and business terms, focusing on investments and economic activities.",0.829,0.708,0.754,0.92,And & Contexts,And Performance
28,126,Time periods and stages in financial or business processes,0.493,0.431,0.818,0.353,And & Time,Time Periods
10,284,Prepositions and conjunctions indicating relationships and transitions in business and technology contexts.,0.735,0.6,0.75,0.72,And & Contexts,And Punctuation
10,397,"Financial and stock market-related terms, including company names and metrics.",0.824,0.723,0.808,0.84,And & Names,And Names
22,371,"Financial and business context, key terms and abbreviations",0.818,0.692,0.75,0.9,And & Contexts,And Contexts
10,280,Financial news and stock market updates,0.781,0.646,0.745,0.82,And & Contexts,And News
4,247,"Company names, stock symbols, and financial terms",0.835,0.738,0.811,0.86,And & Names,And Names
4,305,Numerical values and durations in financial contexts,0.716,0.646,0.935,0.58,And & Contexts,And Values
4,181,"Economic and business entities, including locations and company names",0.844,0.738,0.793,0.902,And & Names,And Names
28,88,"Financial and stock-related terms, focusing on specific companies and market actions.",0.838,0.738,0.8,0.88,And & Economic,And Tech
4,3,"Financial and business-related terms, including numbers and percentages.",0.913,0.84,1.0,0.84,And & Contexts,And Concepts
22,147,Article metadata and structural elements,0.317,0.338,0.769,0.2,And & Contexts,And Elements
22,162,"Business and financial entities, actions, and metrics",0.836,0.723,0.78,0.902,And & Contexts,And Contexts
10,319,"Financial and economic terms, including indices, ratios, and market entities.",0.78,0.662,0.78,0.78,And & Economic,And Economic
10,24,"Prepositions and articles linking sources, entities, or actions in financial contexts",0.723,0.646,0.909,0.6,And & Contexts,Contexts And
10,388,"Specific company names, stock symbols, and financial terms",0.832,0.738,0.84,0.824,And & Names,And Names
22,346,"Financial metrics and changes, with specific numerical values",0.431,0.431,0.933,0.28,And & Metrics,And Values
16,166,Verbs indicating causation or publication in financial contexts,0.564,0.477,0.815,0.431,And & Contexts,Contexts And
4,182,"Financial content, focusing on stocks, articles, and media mentions.",0.816,0.723,0.833,0.8,And & Contexts,And Contexts
10,151,Key identifiers and brand names in financial and tech contexts,0.786,0.673,0.75,0.825,And & Contexts,And Tech
28,238,Focus on word segments and context clues,0.578,0.462,0.727,0.48,And & Contexts,And Contexts
28,249,Financial and market-related letter patterns,0.804,0.692,0.788,0.82,And & Economic,And Stock
22,153,"Financial and business-related terms, including monetary values and company actions.",0.847,0.738,0.783,0.922,And & Contexts,And Concepts
4,325,End-of-sentence or section markers in structured text,0.457,0.415,0.8,0.32,Sentence & Marker,Sentence End
28,34,"Existence, future events, and transitions in business and financial contexts",0.804,0.692,0.804,0.804,And & Contexts,Contexts And
28,371,"Financial and business metrics, including revenue, sales, and market segments.",0.579,0.508,0.846,0.44,And & Contexts,And Contexts
22,149,"Financial transactions, locations, and specific business entities",0.769,0.631,0.741,0.8,And & Contexts,And Tech
10,188,"Financial actions, projections, and market expectations",0.747,0.615,0.755,0.74,And & Economic,And Contexts
16,82,"Financial market movements, focusing on stock and commodity prices.",0.63,0.477,0.69,0.58,And & Economic,And Contexts
10,26,"Financial and technical metrics, AI capabilities, and corporate strategies",0.742,0.615,0.766,0.72,And & Time,And Technical
4,64,"Possessive forms and corporate entities, indicating ownership or association",0.659,0.569,0.844,0.54,And & Contexts,And Contexts
28,105,Financial and business terms in stock and market contexts,0.826,0.708,0.763,0.9,And & Contexts,And Performance
22,159,Article titles with specific details or numbers,0.571,0.492,0.815,0.44,And & Contexts,And News
16,263,Current or past state in business/financial context,0.846,0.754,0.815,0.88,And & Contexts,And Contexts
22,284,Financial figures and percentages in business contexts,0.667,0.6,0.929,0.52,And & Contexts,And Values
4,313,"Financial and temporal data, including specific numbers and months.",0.844,0.785,0.95,0.76,And & Contexts,And Tech
16,338,"Discussions and mentions of Nvidia, its products, and market performance.",0.381,0.4,1.0,0.235,And & Economic,And Contexts
4,354,"Sentence boundary marker, specifically periods.",0.375,0.6,0.5,0.3,Sentence & Marker,Sentence Boundary
22,126,Hyphenated financial and market terms,0.387,0.415,1.0,0.24,And & Economic,And Contexts
22,20,Context-specific technical or industry terms and locations,0.835,0.738,0.811,0.86,And & Contexts,And Tech
16,334,Leadership and professional titles in finance and business,0.29,0.323,0.818,0.176,And & Contexts,And Contexts
22,387,"Economic and financial trends, including market movements and company performance.",0.815,0.692,0.759,0.88,And & Economic,And Economic
10,268,Technical and financial performance metrics and market activities,0.738,0.585,0.717,0.76,And & Metrics,And Performance
